ID,state,name,latitude,longitude,elev
US10adam039,NE,HASTINGS 1.4 NW,40.602,-98.4048,0
US10adam041,NE,AYR 0.3 SSE,40.434,-98.4389,0
US10adam043,NE,JUNIATA 0.2 WNW,40.5917,-98.5092,0
US10adam045,NE,HASTINGS 1.8 N,40.6121,-98.3888,0
US10adam046,NE,HASTINGS 3.3 SW,40.5443,-98.4208,0
US10adam047,NE,HASTINGS 2.1 W,40.5917,-98.4287,0
US10adam051,NE,ROSELAND 3.9 SSE,40.4166,-98.5341,0
US10adam056,NE,HASTINGS 1.0 ESE,40.58,-98.3717,0
US10adam057,NE,PROSSER 2.2 SE,40.6607,-98.5535,0
US10ante003,NE,ORCHARD 0.2 ENE,42.3374,-98.2405,0
US10arth002,NE,PAXTON 18.9 N,41.3955,-101.4074,1068.9
US10bann001,NE,HARRISBURG 9.5 NE,41.6581,-103.6151,1278
US10bann005,NE,HARRISBURG 12.4 WNW,41.6415,-103.9481,1375
US10bann006,NE,HARRISBURG 0.2 NW,41.5589,-103.7407,1366.1
US10bann007,NE,SCOTTSBLUFF 25.5 SSW,41.5037,-103.7634,0
US10bann008,NE,HARRISBURG 6.2 NE,41.6363,-103.6842,1288.1
US10bann009,NE,GERING 10.1 S,41.6804,-103.6852,0
US10blai001,NE,DUNNING 9.4 ENE,41.9138,-99.9644,797.1
US10blai003,NE,DUNNING 8.2 WSW,41.7609,-100.2353,841.9
US10blai004,NE,HALSEY 0.2 ENE,41.9043,-100.2657,826.9
US10blai005,NE,PURDUM 7.5 ESE,42.0189,-100.1227,0
US10blai006,NE,DUNNING 16.9 N,42.0715,-100.0649,0
US10blai008,NE,DUNNING 6.4 WSW,41.803,-100.2225,819.9
US10blai010,NE,BREWSTER 6.4 E,41.9224,-99.7449,746.2
US10blai011,NE,DUNNING 5.3 NW,41.8838,-100.174,0
US10blai012,NE,DUNNING 0.6 SSW,41.8194,-100.1071,0
US10boon002,NE,SAINT EDWARD 7.3 WSW,41.5249,-97.9933,540.1
US10boon003,NE,ALBION 12.9 WNW,41.7571,-98.2343,627
US10boon004,NE,ALBION 1.0 ESE,41.684,-97.9872,530
US10boon005,NE,ALBION 3.5 S,41.6402,-97.9951,573.9
US10boon006,NE,CEDAR RAPIDS 4.1 SSW,41.502,-98.158,591
US10boon007,NE,PETERSBURG 7.9 W,41.8655,-98.2295,580.9
US10boon008,NE,PRIMROSE 0.3 N,41.6273,-98.2379,573
US10boon009,NE,ALBION 5.9 ESE,41.6685,-97.8945,552.9
US10boon010,NE,ALBION 6.1 W,41.6689,-98.1166,548.9
US10boon011,NE,PETERSBURG 1.8 E,41.8518,-98.0448,613.9
US10box_001,NE,ALLIANCE 7.4 NW,42.1911,-102.9518,1250
US10box_003,NE,ALLIANCE 8.6 SW,42.017,-102.9953,1236.9
US10box_004,NE,ALLIANCE 7.2 ENE,42.1486,-102.749,1196
US10box_005,NE,HEMINGFORD 0.2 ESE,42.3195,-103.0705,1299.1
US10box_006,NE,HEMINGFORD 5.1 ENE,42.3653,-102.9952,1271
US10box_007,NE,ALLIANCE 5.9 NE,42.1675,-102.8005,1206.1
US10box_008,NE,HEMINGFORD 4.9 SW,42.2712,-103.141,1310
US10box_009,NE,ALLIANCE 20.3 ENE,42.3968,-102.8848,1214
US10box_010,NE,ALLIANCE 29.1 W,42.116,-103.4295,1310.9
US10box_013,NE,ALLIANCE 1.2 NW,42.1138,-102.8901,0
US10box_014,NE,ALLIANCE 13.6 N,42.2981,-102.8596,0
US10box_020,NE,HEMINGFORD 0.4 SW,42.3167,-103.0787,0
US10box_023,NE,ALLIANCE 21.7 NNE,42.4093,-102.7894,0
US10box_024,NE,HEMINGFORD 4.2 E,42.3263,-102.9934,0
US10box_030,NE,HEMINGFORD 13.5 WSW,42.2357,-103.3072,0
US10boyd002,NE,BUTTE 0.1 S,42.9095,-98.8492,552.9
US10boyd003,NE,SPENCER 3.5 NE,42.9141,-98.6603,513
US10boyd005,NE,BUTTE 0.4 ESE,42.9096,-98.8428,0
US10brow001,NE,LONG PINE 0.4 W,42.5359,-99.7092,0
US10brow003,NE,JOHNSTOWN 5.0 NE,42.636,-100.015,783.9
US10brow004,NE,JOHNSTOWN 4.0 WSW,42.5375,-100.1208,794.9
US10brow005,NE,LONG PINE 15.7 ESE,42.6748,-99.7695,686.1
US10brow006,NE,JOHNSTOWN 0.2 E,42.5718,-100.0545,790
US10brow007,NE,JOHNSTOWN 8.8 N,42.6988,-100.0668,0
US10brow008,NE,AINSWORTH 18.7 SW,42.3248,-100.061,0
US10brow009,NE,AINSWORTH 17.8 SSW,42.3171,-100.0112,0
US10buff001,NE,KEARNEY 5.8 NNW,40.7826,-99.1023,662
US10buff002,NE,KEARNEY 1.8 WNW,40.7062,-99.1142,694.9
US10buff003,NE,RAVENNA 6.6 SE,40.9445,-98.8465,641
US10buff004,NE,KEARNEY 0.9 SW,40.6908,-99.094,662
US10buff005,NE,GIBBON 8.6 NW,40.8588,-98.9216,0
US10buff006,NE,MILLER 0.5 SE,40.9223,-99.3868,726.9
US10buff007,NE,RAVENNA 3.3 SE,40.9903,-98.8699,633.1
US10buff008,NE,RAVENNA 5.3 SW,40.9593,-98.9631,626.1
US10buff010,NE,PLEASANTON 1.4 ENE,40.9789,-99.0637,637.9
US10buff011,NE,SHELTON 0.5 SSE,40.7725,-98.7306,618.1
US10buff012,NE,GIBBON 0.2 WNW,40.7494,-98.8479,630
US10buff013,NE,ELM CREEK 2.2 WSW,40.6995,-99.4062,691.9
US10buff015,NE,AMHERST 3.1 WNW,40.8477,-99.3277,718.1
US10buff017,NE,KEARNEY 2.0 NW,40.7236,-99.1035,677
US10buff018,NE,KEARNEY 2.4 S,40.665,-99.0852,0
US10buff019,NE,RAVENNA 6.8 ESE,40.9728,-98.8024,627
US10buff020,NE,KEARNEY 3.0 NNE,40.7407,-99.0647,0
US10buff025,NE,KEARNEY 5.0 WNW,40.7412,-99.1602,694.9
US10buff034,NE,GIBBON 4.2 N,40.8144,-98.8403,0
US10buff036,NE,RIVERDALE 0.2 WNW,40.7853,-99.1653,0
US10buff039,NE,GIBBON 4.7 N,40.8153,-98.8355,0
US10burt001,NE,TEKAMAH 5.0 SE,41.7267,-96.1557,307.8
US10burt002,NE,CRAIG 6.2 S,41.6965,-96.3619,388.9
US10burt003,NE,OAKLAND 1.6 N,41.8593,-96.4701,388
US10burt004,NE,CRAIG 2.2 W,41.7859,-96.4065,417.9
US10butl003,NE,SHELBY 5.7 SE,41.1229,-97.367,480.1
US10butl004,NE,RISING CITY 3.1 WNW,41.219,-97.349,0
US10butl005,NE,RISING CITY 2.4 ESE,41.185,-97.2542,484.9
US10butl008,NE,BRAINARD 1.8 SSE,41.158,-96.9952,490.1
US10butl010,NE,RISING CITY 7.2 NNW,41.2963,-97.3493,502
US10butl011,NE,BELLWOOD 5.8 W,41.3221,-97.3465,451.1
US10butl013,NE,BELLWOOD 0.2 ESE,41.3565,-97.2356,434.9
US10butl015,NE,ULYSSES 8.6 W,41.0706,-97.3672,0
US10butl020,NE,DAVID CITY 0.2 N,41.2557,-97.1301,0
US10cass001,NE,PLATTSMOUTH 1.4 SW,40.9946,-95.8976,337.1
US10cass005,NE,WEEPING WATER 1.3 ESE,40.865,-96.1171,335.9
US10cass010,NE,EAGLE 1.2 SW,40.8048,-96.4467,0
US10cass011,NE,PLATTSMOUTH 3.1 WNW,41.0289,-95.9874,0
US10ceda001,NE,HARTINGTON 0.5 NW,42.628,-97.27,417
US10ceda002,NE,ST. HELENA 4.1 SW,42.7652,-97.3027,401.1
US10ceda003,NE,RANDOLPH 9.0 NNW,42.4974,-97.4279,530
US10ceda004,NE,CROFTON 3.3 ESE,42.6983,-97.4464,437.1
US10ceda005,NE,CROFTON 6.2 NNE,42.8151,-97.4648,406.9
US10ceda006,NE,COLERIDGE 3.5 W,42.4971,-97.2691,485.9
US10ceda008,NE,HARTINGTON 5.9 ENE,42.6702,-97.1716,384
US10ceda009,NE,COLERIDGE 5.4 NE,42.5654,-97.1363,474.9
US10ceda010,NE,WYNOT 0.2 NNW,42.7432,-97.1706,366.1
US10ceda011,NE,FORDYCE 7.1 N,42.8013,-97.368,392.9
US10ceda012,NE,COLERIDGE 0.2 WSW,42.5044,-97.2076,488
US10ceda013,NE,HARTINGTON 5.9 ENE,42.6702,-97.1716,384
US10ceda014,NE,LAUREL 3.9 ESE,42.3951,-97.0319,438
US10ceda015,NE,RANDOLPH 0.4 SSW,42.3722,-97.3592,509.9
US10ceda016,NE,HARTINGTON 12.8 E,42.5973,-97.022,442.9
US10ceda017,NE,FORDYCE 3.6 WSW,42.6787,-97.4261,465.1
US10ceda020,NE,FORDYCE 1.6 W,42.7043,-97.3915,0
US10ceda021,NE,ST. HELENA 0.0 ESE,42.8092,-97.2482,0
US10ceda026,NE,HARTINGTON 7.4 N,42.7285,-97.2466,0
US10chas001,NE,IMPERIAL 0.1 SW,40.5158,-101.6451,1004
US10chas002,NE,ENDERS 3.0 W,40.4629,-101.5907,975.1
US10chas003,NE,IMPERIAL 7.6 S,40.4085,-101.6227,1054
US10chas004,NE,IMPERIAL 9.4 NE,40.6257,-101.5369,1001
US10chas005,NE,IMPERIAL 7.3 WNW,40.5495,-101.7773,1015.9
US10chas006,NE,CHAMPION 5.2 WNW,40.4949,-101.8424,1028.1
US10chas007,NE,VENANGO 11.5 SE,40.629,-101.9119,1061
US10chas008,NE,LAMAR 1.7 SSW,40.5493,-101.9893,1072
US10chas009,NE,WAUNETA 17.0 NNW,40.6615,-101.4202,958
US10chas010,NE,IMPERIAL 1.3 ENE,40.5253,-101.6226,0
US10chas011,NE,IMPERIAL 5.4 WNW,40.5667,-101.7244,1014.1
US10chas012,NE,CHAMPION 8.3 W,40.4836,-101.9051,1035.1
US10chas013,NE,VENANGO 8.9 SE,40.6768,-101.9156,1068
US10chas016,NE,LAMAR 3.4 S,40.5227,-101.9864,1068.9
US10chas017,NE,ELSIE 16.4 S,40.6122,-101.3454,990
US10chas018,NE,WAUNETA 6.3 N,40.5089,-101.3614,919.9
US10chas019,NE,ENDERS 4.0 NE,40.5059,-101.4966,1021.1
US10chas021,NE,WAUNETA 2.8 W,40.4253,-101.4242,908.9
US10chas023,NE,IMPERIAL 11.5 N,40.6832,-101.6432,1018
US10chas024,NE,WAUNETA 5.0 S,40.3657,-101.4365,1008.9
US10chas025,NE,CHAMPION 3.7 SSE,40.4213,-101.7182,1015.9
US10chas026,NE,IMPERIAL 10.4 NW,40.6249,-101.7822,1036
US10chas027,NE,CHAMPION 0.0 WNW,40.4702,-101.748,996.1
US10chas028,NE,ENDERS 1.0 NNW,40.4688,-101.541,972
US10chas029,NE,CHAMPION 2.6 SW,40.4434,-101.7821,1028.1
US10chas030,NE,WAUNETA 11.4 NNW,40.5789,-101.4193,969
US10chas031,NE,ENDERS 5.3 S,40.3793,-101.5415,1036
US10chas032,NE,HAIGLER 25.5 NNE,40.3773,-101.855,1049.1
US10chas033,NE,CHAMPION 5.6 SSW,40.393,-101.7795,1029
US10chas034,NE,WAUNETA 6.1 W,40.4309,-101.4868,930.9
US10chas035,NE,WAUNETA 16.6 NNW,40.6539,-101.4379,0
US10chas036,NE,IMPERIAL 12.8 ENE,40.6376,-101.4573,0
US10cher001,NE,MULLEN 21.4 N,42.3495,-101.1024,989.1
US10cher004,NE,THEDFORD 11.8 NNE,42.1461,-100.5307,883.9
US10cher005,NE,VALENTINE 0.4 E,42.872,-100.5448,787
US10cher006,NE,VALENTINE 42.9 SSE,42.3039,-100.2193,850.1
US10cher007,NE,VALENTINE 9.5 WNW,42.942,-100.71,847
US10cher008,NE,SPARKS 4.3 NNE,42.9975,-100.2211,761.1
US10cher009,NE,VALENTINE 28.7 S,42.4568,-100.5756,904
US10cher010,NE,HYANNIS 13.7 N,42.198,-101.777,1146
US10cher011,NE,VALENTINE 15.0 SSE,42.6624,-100.4779,861.1
US10cher012,NE,VALENTINE 33.1 SW,42.4781,-100.9129,937
US10cher013,NE,BROWNLEE 4.5 N,42.3536,-100.6312,900.1
US10cher014,NE,VALENTINE 41.2 SSE,42.293,-100.3597,854
US10cher016,NE,CODY 0.1 NE,42.9375,-101.2438,947
US10cher017,NE,VALENTINE 12.2 SSW,42.7032,-100.6163,865
US10cher018,NE,MERRIMAN 5.3 N,42.9955,-101.7119,1004.9
US10cher019,NE,CODY 9.6 WSW,42.8679,-101.4056,878.1
US10cher022,NE,VALENTINE 7.6 N,42.9816,-100.5682,846.1
US10cher023,NE,VALENTINE 17.8 SSW,42.6315,-100.6702,879
US10cher024,NE,CODY 8.2 SSW,42.82,-101.2825,862.9
US10cher025,NE,WOOD LAKE 2.0 WNW,42.6558,-100.2688,826.9
US10cher026,NE,WHITMAN 26.0 N,42.4186,-101.557,1075
US10cher027,NE,CODY 3.0 SW,42.8978,-101.2733,0
US10cher028,NE,CODY 20.9 WSW,42.8151,-101.613,0
US10cher032,NE,VALENTINE 15.6 SSW,42.6638,-100.6651,0
US10chey002,NE,GURLEY 6.0 SE,41.2638,-102.8855,1277.1
US10chey003,NE,DALTON 0.2 NE,41.4098,-102.972,1296.9
US10chey004,NE,SIDNEY 6.8 W,41.1548,-103.1077,1324.1
US10chey005,NE,SIDNEY 7.2 S,41.04,-102.96,1307
US10chey007,NE,SIDNEY 1.2 SSE,41.127,-102.97,1257.9
US10chey008,NE,SIDNEY 17.9 E,41.1491,-102.6355,1175
US10chey009,NE,SIDNEY 9.1 ESE,41.1059,-102.8108,1246.9
US10chey010,NE,DALTON 4.5 WSW,41.3766,-103.0495,1323.1
US10chey012,NE,LODGEPOLE 6.9 NW,41.2225,-102.726,1217.1
US10chey013,NE,SIDNEY 9.9 ENE,41.2369,-102.8361,1256.1
US10chey014,NE,DALTON 3.2 WSW,41.3945,-103.0327,1323.1
US10chey015,NE,GURLEY 9.1 E,41.2922,-102.8016,1256.1
US10chey016,NE,DALTON 14.6 E,41.414,-102.695,1227.1
US10chey017,NE,POTTER 1.1 ESE,41.2098,-103.2978,1332
US10chey018,NE,DALTON 7.6 WSW,41.3722,-103.1112,1338.1
US10chey019,NE,GURLEY 1.3 W,41.3264,-102.9948,1310.9
US10chey021,NE,SIDNEY 0.9 NNW,41.1554,-102.9844,1282.9
US10chey022,NE,SIDNEY 1.5 SE,41.1271,-102.9594,1257
US10chey024,NE,DALTON 0.6 S,41.4188,-102.9737,1296.9
US10chey025,NE,SIDNEY 0.7 S,41.1289,-102.9701,1247.9
US10chey026,NE,POTTER 3.9 NE,41.2586,-103.2644,1385
US10chey027,NE,POTTER 6.6 ESE,41.1772,-103.2022,1367
US10chey028,NE,SIDNEY 8.1 SSE,41.0317,-102.9277,1296.9
US10chey029,NE,POTTER 12.5 NNW,41.3956,-103.3643,1414
US10chey030,NE,POTTER 12.0 N,41.3903,-103.2967,1382.9
US10chey031,NE,LODGEPOLE 1.2 NE,41.175,-102.6462,0
US10chey032,NE,LODGEPOLE 5.7 S,41.0675,-102.6314,1234.1
US10chey033,NE,SIDNEY 17.2 WSW,41.0246,-103.2684,1389.9
US10chey034,NE,SIDNEY 8.5 N,41.2661,-102.9896,1297.8
US10chey035,NE,SIDNEY 7.3 W,41.118,-103.1154,1285
US10chey036,NE,SIDNEY 12.9 W,41.1334,-103.2254,1328
US10chey037,NE,SIDNEY 14.1 WSW,41.0622,-103.2221,1323.1
US10chey038,NE,LODGEPOLE 8.5 NNW,41.2362,-102.6945,1206.1
US10chey041,NE,SIDNEY 10.4 WNW,41.202,-103.163,1296.9
US10chey045,NE,GURLEY 3.6 SE,41.2807,-102.9306,1289
US10chey046,NE,POTTER 5.4 ESE,41.189,-103.2204,1330.1
US10chey047,NE,SIDNEY 23.8 ESE,41.0054,-102.9378,0
US10chey049,NE,SIDNEY 13.1 WSW,41.0492,-103.1975,0
US10chey053,NE,LODGEPOLE 35.9 N,41.0856,-102.6689,0
US10chey056,NE,DALTON 9.5 ESE,41.3499,-102.8094,0
US10chey060,NE,SIDNEY 0.6 S,41.1339,-102.9777,0
US10clay002,NE,EDGAR 4.2 ESE,40.3504,-97.897,512.1
US10clay004,NE,CLAY CENTER 2.8 W,40.5318,-98.107,552.9
US10clay005,NE,EDGAR 2.4 NW,40.4019,-97.9945,530
US10clay007,NE,GLENVIL 0.7 ENE,40.5099,-98.2439,561.1
US10clay008,NE,CLAY CENTER 4.8 SSE,40.4549,-98.0329,537.1
US10clay009,NE,HASTINGS 6.1 ENE,40.6115,-98.2773,570.9
US10clay012,NE,HARVARD 5.0 NW,40.6698,-98.1668,559
US10clay013,NE,FAIRFIELD 2.8 NE,40.4615,-98.0694,544.1
US10clay015,NE,SUTTON 0.6 NE,40.6114,-97.8523,515.1
US10clay017,NE,EDGAR 6.5 NE,40.4517,-97.9066,527
US10clay018,NE,CLAY CENTER 0.3 NNE,40.526,-98.0537,547.1
US10clay019,NE,CLAY CENTER 9.8 W,40.5402,-98.2414,566
US10clay020,NE,CLAY CENTER 6.7 W,40.5245,-98.1652,556.9
US10clay021,NE,CLAY CENTER 4.7 WSW,40.4813,-98.1273,548
US10clay023,NE,CLAY CENTER 5.2 S,40.4473,-98.0466,537.1
US10clay024,NE,HARVARD 5.7 NNE,40.6942,-98.0532,530
US10clay025,NE,FAIRFIELD 6.1 W,40.4224,-98.2226,552
US10clay027,NE,GLENVIL 4.3 SE,40.4522,-98.2156,0
US10clay029,NE,FAIRFIELD 1.6 S,40.4086,-98.1087,0
US10clay037,NE,SUTTON 0.7 SW,40.5967,-97.8673,0
US10clay039,NE,HARVARD 0.2 ESE,40.6236,-98.0925,0
US10clay041,NE,CLAY CENTER 0.2 ESE,40.5199,-98.0526,0
US10clay044,NE,ONG 7.2 N,40.6101,-97.8621,0
US10colf001,NE,CLARKSON 3.1 ESE,41.7014,-97.0731,460.9
US10colf002,NE,ROGERS 9.3 NW,41.5837,-97.0027,438
US10colf003,NE,CLARKSON 9.3 SSW,41.596,-97.1614,487.1
US10colf005,NE,COLUMBUS 6.2 E,41.4186,-97.2521,430.1
US10cumi002,NE,WEST POINT 2.7 SSE,41.8049,-96.6907,431
US10cumi003,NE,WEST POINT 5.0 WNW,41.8664,-96.7995,431
US10cumi005,NE,WEST POINT 6.0 NE,41.9103,-96.6379,424.9
US10cumi006,NE,WISNER 0.4 SE,41.9826,-96.9095,417
US10cumi007,NE,WEST POINT 1.5 S,41.82,-96.71,406
US10cumi008,NE,BEEMER 0.2 E,41.9301,-96.8078,417
US10cumi009,NE,BANCROFT 0.7 S,42.0028,-96.5717,434
US10cumi010,NE,WEST POINT 5.3 WSW,41.7973,-96.7926,427
US10cumi011,NE,BANCROFT 7.1 W,42.0045,-96.7088,452
US10cumi012,NE,BANCROFT 0.2 NW,42.0149,-96.5756,0
US10cust001,NE,OCONTO 0.9 ESE,41.1325,-99.7503,782.1
US10cust002,NE,SARGENT 4.8 W,41.6544,-99.4623,716.9
US10cust003,NE,ARNOLD 0.3 SSE,41.4206,-100.1929,823.9
US10cust004,NE,GOTHENBURG 15.0 NNW,41.1492,-100.1954,900.1
US10cust005,NE,BERWYN 5.9 SSW,41.2685,-99.5322,765
US10cust007,NE,ANSLEY 0.4 E,41.2891,-99.3739,716
US10cust008,NE,MERNA 3.7 NE,41.5246,-99.716,821.1
US10cust009,NE,MERNA 5.0 WNW,41.5285,-99.8369,807.1
US10cust010,NE,EDDYVILLE 11.4 N,41.1759,-99.6131,726
US10cust011,NE,ANSELMO 11.5 SW,41.5008,-100.0225,919.9
US10cust012,NE,ANSELMO 2.2 WNW,41.6293,-99.9052,819
US10cust013,NE,ANSELMO 6.0 NW,41.689,-99.9324,830
US10cust014,NE,ANSELMO 11.8 WSW,41.5419,-100.0685,880
US10cust015,NE,ANSELMO 9.2 NW,41.7171,-99.9848,823
US10cust016,NE,ANSELMO 6.1 E,41.6,-99.7523,769
US10cust017,NE,BROKEN BOW 12.3 S,41.2252,-99.6644,741
US10cust020,NE,GOTHENBURG 24.1 N,41.2793,-100.1589,918.1
US10cust021,NE,MERNA 11.4 W,41.4517,-99.9745,907.1
US10cust022,NE,BERWYN 4.4 NNE,41.409,-99.4638,761.1
US10cust027,NE,MILBURN 1.9 ENE,41.7346,-99.6987,835.2
US10cust028,NE,SARGENT 0.9 W,41.6399,-99.3898,712
US10cust029,NE,COMSTOCK 0.8 ESE,41.5562,-99.2362,698
US10cust032,NE,MERNA 7.9 WSW,41.4189,-99.8858,0
US10cust035,NE,ANSELMO 8.9 WSW,41.5661,-100.0212,0
US10cust039,NE,CALLAWAY 0.2 S,41.2888,-99.9237,0
US10cust040,NE,BROKEN BOW 8.7 SSW,41.2868,-99.7077,0
US10cust041,NE,BROKEN BOW 2.9 E,41.4004,-99.5844,0
US10cust042,NE,ANSELMO 6.5 E,41.6273,-99.741,0
US10cust045,NE,BROKEN BOW 0.7 N,41.412,-99.6378,0
US10cust046,NE,MERNA 6.9 W,41.4816,-99.8928,0
US10dako002,NE,HUBBARD 3.1 SW,42.3484,-96.6192,381.9
US10dako003,NE,HUBBARD 0.1 NW,42.3882,-96.5916,0
US10dawe001,NE,CHADRON 0.5 SE,42.8292,-102.9939,1033.9
US10dawe002,NE,CHADRON 0.4 SE,42.8304,-102.9956,1032.1
US10dawe003,NE,CHADRON 4.7 SSW,42.7696,-103.0213,1081.1
US10dawe005,NE,CHADRON 0.6 WNW,42.7177,-103.0117,1029.9
US10dawe006,NE,CRAWFORD 6.8 E,42.6675,-103.2848,1170.1
US10dawe007,NE,CHADRON 3.6 WSW,42.8037,-103.0531,1024.1
US10dawe010,NE,HAY SPRINGS 7.5 WSW,42.6256,-102.8125,1214
US10dawe011,NE,MARSLAND 14.4 ENE,42.5602,-103.0704,1288.1
US10dawe012,NE,WHITNEY 4.5 WSW,42.7625,-103.3398,1067.1
US10dawe013,NE,CRAWFORD 9.6 SSE,42.5495,-103.3619,1382.9
US10dawe015,NE,HEMINGFORD 10.1 NNE,42.4525,-102.9868,1195.1
US10dawe016,NE,CRAWFORD 2.1 ENE,42.6975,-103.3779,1118
US10dawe017,NE,MARSLAND 8.2 E,42.4672,-103.145,1232.9
US10dawe018,NE,HEMINGFORD 13.2 N,42.5116,-103.1096,1268.9
US10dawe019,NE,CHADRON 8.5 S,42.7123,-103.0049,1192.1
US10dawe023,NE,HEMINGFORD 12.0 NE,42.457,-102.9293,0
US10dawe025,NE,CHADRON 3.6 W,42.8475,-103.0671,0
US10dawe026,NE,CHADRON 39.3 WSW,42.668,-103.0668,0
US10dawe027,NE,CHADRON 16.1 SSW,42.611,-103.0857,0
US10dawe030,NE,MARSLAND 3.5 E,42.4549,-103.2334,0
US10daws001,NE,COZAD 7.2 E,40.8658,-99.8494,754.1
US10daws002,NE,LEXINGTON 1.1 E,40.78,-99.72,730
US10daws003,NE,OVERTON 3.1 NNW,40.781,-99.5593,0
US10daws004,NE,COZAD 2.9 WNW,40.8844,-100.0327,768.1
US10daws005,NE,COZAD 18.2 ESE,40.7104,-99.7008,722.1
US10daws006,NE,COZAD 23.8 ESE,40.694,-99.587,709
US10daws007,NE,GOTHENBURG 4.9 N,41.0007,-100.1654,812.9
US10daws008,NE,COZAD 4.4 S,40.7966,-99.9956,762
US10daws009,NE,GOTHENBURG 2.9 S,40.8876,-100.1645,782.1
US10daws010,NE,SUMNER 2.7 W,40.9455,-99.5599,738.8
US10daws011,NE,SUMNER 3.7 ESE,40.9238,-99.4457,748.9
US10daws012,NE,EDDYVILLE 0.0 NW,41.0118,-99.6248,0
US10daws013,NE,ELM CREEK 4.8 WNW,40.7471,-99.4578,709.9
US10daws014,NE,OVERTON 2.2 SE,40.7135,-99.5213,707.1
US10daws015,NE,FARNAM 4.8 E,40.7099,-100.1229,826.9
US10daws017,NE,COZAD 0.9 NNE,40.8715,-99.981,0
US10daws018,NE,GOTHENBURG 0.7 NNE,40.9394,-100.1577,795.2
US10deue001,NE,CHAPPELL 0.3 W,41.0936,-102.4766,1128.1
US10deue002,NE,CHAPPELL 0.2 N,41.0955,-102.471,1133.9
US10deue003,NE,CHAPPELL 0.4 SSE,41.087,-102.4699,1119.8
US10deue004,NE,CHAPPELL 8.7 ENE,41.1496,-102.3234,1147.9
US10deue005,NE,CHAPPELL 7.8 E,41.1106,-102.3243,1147
US10deue009,NE,BIG SPRINGS 0.8 W,41.0613,-102.0896,1036.9
US10deue010,NE,CHAPPELL 2.7 NNE,41.1297,-102.4565,1182
US10deue012,NE,CHAPPELL 6.6 WSW,41.0479,-102.5835,1207
US10deue013,NE,CHAPPELL 0.7 E,41.0946,-102.4586,1139
US10deue015,NE,BIG SPRINGS 9.6 WSW,41.0025,-102.241,1054.9
US10deue016,NE,BIG SPRINGS 0.4 SSE,41.0557,-102.074,1026.9
US10deue018,NE,LODGEPOLE 4.0 ENE,41.1828,-102.5743,1213.1
US10deue020,NE,CHAPPELL 12.0 E,41.1266,-102.246,0
US10deue021,NE,CHAPPELL 4.5 W,41.0911,-102.5577,0
US10deue025,NE,CHAPPELL 0.3 WNW,41.0942,-102.4764,0
US10dixo001,NE,WAYNE 13.7 NNE,42.4273,-96.9774,463
US10dixo003,NE,WAKEFIELD 4.3 ENE,42.3056,-96.7977,465.1
US10dixo005,NE,PONCA 0.1 SSE,42.5618,-96.7053,348.1
US10dixo006,NE,PONCA 8.6 W,42.5766,-96.8686,421.8
US10dodg005,NE,SCRIBNER 2.0 E,41.668,-96.628,392
US10dodg012,NE,HOOPER 3.6 NE,41.6544,-96.5097,0
US10doug001,NE,OMAHA 11.3 W,41.2201,-96.1474,324
