time,y,x,lat,long,date,cloudhigh,cloudlow,cloudmid,ozone,pressure,surftemp,temperature,id
1,5,8,-11.2173913,-96.26956522,1/1/1995,1.5,46,3,250,1000,296.5,296.5,5-Aug
1,5,9,-11.2173913,-93.76521739,1/1/1995,2.5,48,3,250,1000,296.5,296.5,5-Sep
1,5,10,-11.2173913,-91.26086957,1/1/1995,2.5,48.5,4,250,1000,296.9,296.9,5-Oct
1,5,11,-11.2173913,-88.75652174,1/1/1995,2,47,4.5,250,1000,296.9,296.9,5-Nov
1,5,12,-11.2173913,-86.25217391,1/1/1995,2,44,4.5,254,1000,297.8,296.9,5-Dec
1,5,13,-11.2173913,-83.74782609,1/1/1995,1,44,4,256,1000,298.7,297.8,13-5
1,5,14,-11.2173913,-81.24347826,1/1/1995,1.5,33,8,252,1000,296.9,298.3,14-5
1,5,15,-11.2173913,-78.73913043,1/1/1995,14.5,17,24,256,945,293.2,295.5,15-5
1,5,16,-11.2173913,-76.23478261,1/1/1995,36.5,4,32.5,248,765,283.7,284.2,16-5
1,5,17,-11.2173913,-73.73043478,1/1/1995,30,6.5,31.5,256,960,290.7,296.9,17-5
1,5,18,-11.2173913,-71.22608696,1/1/1995,30,7.5,30.5,254,975,291.7,298.3,18-5
1,5,19,-11.2173913,-68.72173913,1/1/1995,36,6.5,30,256,990,292.2,299.6,19-5
1,5,20,-11.2173913,-66.2173913,1/1/1995,38.5,7.5,32,254,985,292.2,299.2,20-5
1,5,21,-11.2173913,-63.71304348,1/1/1995,41.5,7.5,31,258,975,291.7,299.2,21-5
1,5,22,-11.2173913,-61.20869565,1/1/1995,44,6.5,29,260,980,291.7,299.2,22-5
1,5,23,-11.2173913,-58.70434783,1/1/1995,44,6.5,29,260,980,291.7,299.2,23-5
1,5,24,-11.2173913,-56.2,1/1/1995,47.5,7.5,26,256,980,292.7,298.7,24-5
1,6,1,-8.72173913,-113.8,1/1/1995,1.5,27,4.5,252,1000,298.7,298.3,6-Jan
1,6,2,-8.72173913,-111.2956522,1/1/1995,3,26,4.5,250,1000,298.7,297.8,6-Feb
1,6,3,-8.72173913,-108.7913043,1/1/1995,1.5,30.5,3,248,1000,298.3,297.4,6-Mar
1,6,4,-8.72173913,-106.2869565,1/1/1995,1,36.5,3,248,1000,298.3,296.9,6-Apr
1,6,5,-8.72173913,-103.7826087,1/1/1995,1.5,39.5,3,246,1000,297.8,297.4,6-May
1,6,6,-8.72173913,-101.2782609,1/1/1995,1.5,40,4,248,1000,297.8,297.4,6-Jun
1,6,7,-8.72173913,-98.77391304,1/1/1995,2.5,42.5,3.5,248,1000,297.8,297.4,6-Jul
1,6,8,-8.72173913,-96.26956522,1/1/1995,2.5,43,3,248,1000,297.8,296.9,6-Aug
1,6,9,-8.72173913,-93.76521739,1/1/1995,2.5,42.5,4,250,1000,298.3,296.9,6-Sep
1,6,10,-8.72173913,-91.26086957,1/1/1995,2.5,40.5,3.5,250,1000,298.3,297.4,6-Oct
1,6,11,-8.72173913,-88.75652174,1/1/1995,2.5,40.5,3.5,250,1000,298.3,297.4,6-Nov
1,6,12,-8.72173913,-86.25217391,1/1/1995,2.5,39,3.5,252,1000,298.7,297.4,6-Dec
1,6,13,-8.72173913,-83.74782609,1/1/1995,1.5,36,4,254,1000,298.3,298.3,13-6
1,6,14,-8.72173913,-81.24347826,1/1/1995,1,34,8.5,254,1000,298.3,297.8,14-6
1,6,15,-8.72173913,-78.73913043,1/1/1995,3,24,20,254,995,296,297.4,15-6
1,6,16,-8.72173913,-76.23478261,1/1/1995,21,7.5,41,252,765,286.8,286.8,16-6
1,6,17,-8.72173913,-73.73043478,1/1/1995,21.5,10,36,254,995,292.2,298.7,17-6
1,6,18,-8.72173913,-71.22608696,1/1/1995,26.5,10.5,36,256,1000,293.2,299.6,18-6
1,6,19,-8.72173913,-68.72173913,1/1/1995,33.5,8,32.5,256,995,293.2,300.1,19-6
1,6,20,-8.72173913,-66.2173913,1/1/1995,40.5,7.5,30.5,256,1000,292.2,299.6,20-6
1,6,21,-8.72173913,-63.71304348,1/1/1995,43,6.5,30,258,1000,292.7,300.5,21-6
1,6,22,-8.72173913,-61.20869565,1/1/1995,44.5,6.5,27.5,256,1000,292.2,300.1,22-6
1,6,23,-8.72173913,-58.70434783,1/1/1995,42.5,7,31.5,262,995,292.2,299.2,23-6
1,6,24,-8.72173913,-56.2,1/1/1995,46,6,30,264,990,291.7,298.7,24-6
1,7,1,-6.226086957,-113.8,1/1/1995,1.5,25.5,4,250,1000,299.2,298.3,7-Jan
1,7,2,-6.226086957,-111.2956522,1/1/1995,1,29.5,3,250,1000,298.7,298.3,7-Feb
1,7,3,-6.226086957,-108.7913043,1/1/1995,1,33,2,246,1000,298.7,297.8,7-Mar
1,7,4,-6.226086957,-106.2869565,1/1/1995,0.5,32,2,248,1000,298.3,297.8,7-Apr
1,7,5,-6.226086957,-103.7826087,1/1/1995,0.5,34.5,2.5,246,1000,298.7,297.8,7-May
1,7,6,-6.226086957,-101.2782609,1/1/1995,1,34,3.5,246,1000,298.3,297.4,7-Jun
1,7,7,-6.226086957,-98.77391304,1/1/1995,2.5,36.5,4.5,246,1000,298.3,297.8,7-Jul
1,7,8,-6.226086957,-96.26956522,1/1/1995,3,42,3.5,246,1000,298.3,297.4,7-Aug
1,7,9,-6.226086957,-93.76521739,1/1/1995,2,43,3.5,248,1000,298.3,297.4,7-Sep
1,7,10,-6.226086957,-91.26086957,1/1/1995,2,44.5,4.5,248,1000,298.7,297.8,7-Oct
1,7,11,-6.226086957,-88.75652174,1/1/1995,1,44.5,5,248,1000,299.6,298.3,7-Nov
1,7,12,-6.226086957,-86.25217391,1/1/1995,0.5,42,4,252,1000,299.2,298.3,7-Dec
1,7,13,-6.226086957,-83.74782609,1/1/1995,0.5,34,5.5,252,1000,298.7,298.7,13-7
1,7,14,-6.226086957,-81.24347826,1/1/1995,1,28.5,16,252,1000,296.9,297.8,14-7
1,7,15,-6.226086957,-78.73913043,1/1/1995,5.5,14.5,43,254,870,290.7,291.7,15-7
1,7,16,-6.226086957,-76.23478261,1/1/1995,11.5,8.5,42.5,252,965,290.7,296.5,16-7
1,7,17,-6.226086957,-73.73043478,1/1/1995,17.5,10.5,36.5,252,1000,294.1,299.6,17-7
1,7,18,-6.226086957,-71.22608696,1/1/1995,28.5,9.5,33.5,254,1000,294.1,300.1,18-7
1,7,19,-6.226086957,-68.72173913,1/1/1995,32,10,31.5,254,1000,293.2,300.1,19-7
1,7,20,-6.226086957,-66.2173913,1/1/1995,35.5,8.5,32.5,256,1000,293.2,301,20-7
1,7,21,-6.226086957,-63.71304348,1/1/1995,35,8.5,33,258,1000,294.1,301,21-7
1,7,22,-6.226086957,-61.20869565,1/1/1995,36.5,9.5,31,264,1000,293.6,301,22-7
1,7,23,-6.226086957,-58.70434783,1/1/1995,39.5,8.5,32,260,1000,293.2,300.1,23-7
1,7,24,-6.226086957,-56.2,1/1/1995,41,7,30.5,262,1000,292.7,300.1,24-7
1,8,1,-3.730434783,-113.8,1/1/1995,0.5,29,1.5,248,1000,298.7,298.3,8-Jan
1,8,2,-3.730434783,-111.2956522,1/1/1995,0,32,1,246,1000,298.7,297.8,8-Feb
1,8,3,-3.730434783,-108.7913043,1/1/1995,0,38,1,246,1000,298.7,297.4,8-Mar
1,8,4,-3.730434783,-106.2869565,1/1/1995,0,40.5,2,246,1000,298.7,297.8,8-Apr
1,8,5,-3.730434783,-103.7826087,1/1/1995,0.5,44.5,4,246,1000,298.3,298.3,8-May
1,8,6,-3.730434783,-101.2782609,1/1/1995,1,46,5,246,1000,298.7,297.8,8-Jun
1,8,7,-3.730434783,-98.77391304,1/1/1995,1.5,48.5,7,244,1000,297.8,298.3,8-Jul
1,8,8,-3.730434783,-96.26956522,1/1/1995,3,51,6.5,246,1000,298.3,297.8,8-Aug
1,8,9,-3.730434783,-93.76521739,1/1/1995,3.5,50,7.5,246,1000,298.7,298.3,8-Sep
1,8,10,-3.730434783,-91.26086957,1/1/1995,1.5,47.5,8.5,248,1000,299.6,298.3,8-Oct
1,8,11,-3.730434783,-88.75652174,1/1/1995,0.5,47.5,8.5,248,1000,299.6,297.8,8-Nov
1,8,12,-3.730434783,-86.25217391,1/1/1995,0,43.5,8,248,1000,298.3,298.7,8-Dec
1,8,13,-3.730434783,-83.74782609,1/1/1995,0,36.5,11,250,1000,298.3,297.8,13-8
1,8,14,-3.730434783,-81.24347826,1/1/1995,1,31.5,26.5,250,1000,296,297.8,14-8
1,8,15,-3.730434783,-78.73913043,1/1/1995,7,8.5,41,246,865,287.3,288.8,15-8
1,8,16,-3.730434783,-76.23478261,1/1/1995,13.5,10,37,248,1000,293.6,300.1,16-8
1,8,17,-3.730434783,-73.73043478,1/1/1995,21.5,9.5,31.5,250,1000,295,300.1,17-8
1,8,18,-3.730434783,-71.22608696,1/1/1995,25.5,11.5,30,250,1000,294.6,300.1,18-8
1,8,19,-3.730434783,-68.72173913,1/1/1995,27.5,10.5,30,250,1000,293.6,300.5,19-8
1,8,20,-3.730434783,-66.2173913,1/1/1995,29,11.5,29,252,1000,294.6,301,20-8
1,8,21,-3.730434783,-63.71304348,1/1/1995,26.5,10.5,30.5,254,1000,294.6,301.4,21-8
1,8,22,-3.730434783,-61.20869565,1/1/1995,26.5,11.5,31.5,254,1000,294.1,301.4,22-8
1,8,23,-3.730434783,-58.70434783,1/1/1995,29.5,11,32,258,1000,293.6,301.4,23-8
1,8,24,-3.730434783,-56.2,1/1/1995,32,9.5,28.5,258,1000,293.6,301,24-8
1,9,1,-1.234782609,-113.8,1/1/1995,0,37,1,248,1000,298.3,297.8,9-Jan
1,9,2,-1.234782609,-111.2956522,1/1/1995,0,43,0.5,248,1000,298.7,297.4,9-Feb
1,9,3,-1.234782609,-108.7913043,1/1/1995,0,46.5,1.5,246,1000,298.3,297.8,9-Mar
1,9,4,-1.234782609,-106.2869565,1/1/1995,0,52,3.5,248,1000,298.3,297.4,9-Apr
1,9,5,-1.234782609,-103.7826087,1/1/1995,0,50,7,246,1000,298.3,297.4,9-May
1,9,6,-1.234782609,-101.2782609,1/1/1995,0.5,48.5,10,248,1000,298.3,297.8,9-Jun
1,9,7,-1.234782609,-98.77391304,1/1/1995,1.5,52.5,8.5,244,1000,298.3,297.4,9-Jul
1,9,8,-1.234782609,-96.26956522,1/1/1995,3.5,51,14,246,1000,298.7,297.4,9-Aug
1,9,9,-1.234782609,-93.76521739,1/1/1995,3,47.5,19.5,246,1000,299.6,297.4,9-Sep
1,9,10,-1.234782609,-91.26086957,1/1/1995,1.5,43,20,246,1000,299.6,299.2,9-Oct
1,9,11,-1.234782609,-88.75652174,1/1/1995,1,43,16,246,1000,299.6,298.3,9-Nov
1,9,12,-1.234782609,-86.25217391,1/1/1995,0,45,15,248,1000,298.7,298.3,9-Dec
1,9,13,-1.234782609,-83.74782609,1/1/1995,0.5,43,20.5,248,1000,298.3,297.8,13-9
1,9,14,-1.234782609,-81.24347826,1/1/1995,3.5,30,34,248,1000,296.5,298.3,14-9
1,9,15,-1.234782609,-78.73913043,1/1/1995,7.5,9,40.5,248,840,285.2,287.3,15-9
1,9,16,-1.234782609,-76.23478261,1/1/1995,11.5,9.5,37,250,1000,292.7,298.7,16-9
1,9,17,-1.234782609,-73.73043478,1/1/1995,15,10.5,33,250,1000,294.6,298.3,17-9
1,9,18,-1.234782609,-71.22608696,1/1/1995,20.5,11.5,32,250,1000,294.6,299.2,18-9
1,9,19,-1.234782609,-68.72173913,1/1/1995,21.5,12,30.5,250,1000,294.1,300.1,19-9
1,9,20,-1.234782609,-66.2173913,1/1/1995,20,13,27,252,1000,295,300.5,20-9
1,9,21,-1.234782609,-63.71304348,1/1/1995,14.5,13.5,26,254,1000,295.5,301.9,21-9
1,9,22,-1.234782609,-61.20869565,1/1/1995,13.5,15.5,30,256,1000,295,301.4,22-9
1,9,23,-1.234782609,-58.70434783,1/1/1995,15.5,13.5,30.5,254,1000,293.6,300.5,23-9
1,9,24,-1.234782609,-56.2,1/1/1995,21,13,29,258,1000,294.1,300.5,24-9
1,10,1,1.260869565,-113.8,1/1/1995,0.5,43.5,4,248,1000,297.8,298.3,10-Jan
1,10,2,1.260869565,-111.2956522,1/1/1995,0.5,47,5.5,246,1000,298.3,297.8,10-Feb
1,10,3,1.260869565,-108.7913043,1/1/1995,0,51,7,246,1000,298.7,297.8,10-Mar
1,10,4,1.260869565,-106.2869565,1/1/1995,0,54.5,11,248,1000,298.7,297.8,10-Apr
1,10,5,1.260869565,-103.7826087,1/1/1995,1,52.5,19,246,1000,298.3,298.7,10-May
1,10,6,1.260869565,-101.2782609,1/1/1995,3,47,21.5,246,1000,298.3,298.3,10-Jun
1,10,7,1.260869565,-98.77391304,1/1/1995,5,46,20.5,246,1000,298.7,298.3,10-Jul
1,10,8,1.260869565,-96.26956522,1/1/1995,8,42,23,248,1000,299.6,298.7,10-Aug
1,10,9,1.260869565,-93.76521739,1/1/1995,8,39,31.5,244,1000,300.1,299.6,10-Sep
1,10,10,1.260869565,-91.26086957,1/1/1995,8,37,31.5,248,1000,301,299.6,10-Oct
1,10,11,1.260869565,-88.75652174,1/1/1995,7.5,36.5,25,246,1000,301,298.7,10-Nov
1,10,12,1.260869565,-86.25217391,1/1/1995,5,40.5,26.5,248,1000,300.5,300.1,10-Dec
1,10,13,1.260869565,-83.74782609,1/1/1995,4.5,40.5,33,248,1000,299.6,299.2,13-10
1,10,14,1.260869565,-81.24347826,1/1/1995,11.5,36.5,38,246,1000,298.7,299.2,14-10
1,10,15,1.260869565,-78.73913043,1/1/1995,15,13.5,35.5,250,940,290.2,294.6,15-10
1,10,16,1.260869565,-76.23478261,1/1/1995,9,9.5,37,248,905,291.2,294.6,16-10
1,10,17,1.260869565,-73.73043478,1/1/1995,8.5,10.5,26,250,980,295.5,297.8,17-10
1,10,18,1.260869565,-71.22608696,1/1/1995,13,9.5,28.5,250,990,295,298.7,18-10
1,10,19,1.260869565,-68.72173913,1/1/1995,18.5,12.5,26,252,1000,295,299.6,19-10
1,10,20,1.260869565,-66.2173913,1/1/1995,15.5,13.5,24.5,252,985,295,299.2,20-10
1,10,21,1.260869565,-63.71304348,1/1/1995,7,15.5,22,254,980,296,299.2,21-10
1,10,22,1.260869565,-61.20869565,1/1/1995,5,18,24,254,1000,295.5,300.1,22-10
1,10,23,1.260869565,-58.70434783,1/1/1995,5.5,15.5,29.5,252,995,293.2,299.2,23-10
1,10,24,1.260869565,-56.2,1/1/1995,7.5,14,33,254,985,292.2,298.3,24-10
1,11,1,3.756521739,-113.8,1/1/1995,5.5,44.5,13,248,1000,298.7,299.6,11-Jan
1,11,2,3.756521739,-111.2956522,1/1/1995,4.5,47,15.5,248,1000,298.7,299.2,11-Feb
1,11,3,3.756521739,-108.7913043,1/1/1995,5,47.5,18,248,1000,299.2,299.2,11-Mar
1,11,4,3.756521739,-106.2869565,1/1/1995,5.5,43.5,22,246,1000,298.7,299.6,11-Apr
1,11,5,3.756521739,-103.7826087,1/1/1995,11,42,25.5,246,1000,299.2,300.1,11-May
1,11,6,3.756521739,-101.2782609,1/1/1995,11.5,40.5,26.5,246,1000,299.6,299.6,11-Jun
1,11,7,3.756521739,-98.77391304,1/1/1995,15.5,35.5,25,248,1000,299.6,300.1,11-Jul
1,11,8,3.756521739,-96.26956522,1/1/1995,17.5,30.5,23.5,246,1000,299.6,300.1,11-Aug
1,11,9,3.756521739,-93.76521739,1/1/1995,17,31,25,248,1000,300.5,300.1,11-Sep
1,11,10,3.756521739,-91.26086957,1/1/1995,16,31,29.5,246,1000,300.5,301,11-Oct
1,11,11,3.756521739,-88.75652174,1/1/1995,19,32,23.5,246,1000,301,301,11-Nov
1,11,12,3.756521739,-86.25217391,1/1/1995,22,31,19.5,248,1000,302.3,301,11-Dec
1,11,13,3.756521739,-83.74782609,1/1/1995,12,32.5,21.5,248,1000,301.9,301,13-11
1,11,14,3.756521739,-81.24347826,1/1/1995,6.5,34.5,24,248,1000,300.5,300.1,14-11
1,11,15,3.756521739,-78.73913043,1/1/1995,16.5,30.5,25,248,1000,297.8,300.1,15-11
1,11,16,3.756521739,-76.23478261,1/1/1995,13.5,11.5,30.5,250,865,291.2,294.6,16-11
1,11,17,3.756521739,-73.73043478,1/1/1995,4,16,26,250,945,296,297.4,17-11
1,11,18,3.756521739,-71.22608696,1/1/1995,5.5,13.5,16,250,1000,298.7,300.5,18-11
1,11,19,3.756521739,-68.72173913,1/1/1995,9,15,17,250,995,297.4,300.1,19-11
1,11,20,3.756521739,-66.2173913,1/1/1995,9,14.5,16.5,250,965,296.5,297.8,20-11
1,11,21,3.756521739,-63.71304348,1/1/1995,5,16.5,17.5,250,935,292.7,295,21-11
1,11,22,3.756521739,-61.20869565,1/1/1995,2,25,16,252,960,298.7,297.8,22-11
1,11,23,3.756521739,-58.70434783,1/1/1995,2,22.5,20,252,995,294.6,299.2,23-11
